force,tier,size,tightness_min_pairwise_r,sign_purity,n_pos,n_neg,usable,status,members
Regional-Fed survey complex,TIGHT,2,0.9956,1.0,2,0,yes,usable,Future Capital Expenditures; Percent Reporti; Future Capital Expenditures; Percent Reporti
Dollar complex,TIGHT,2,0.9596,1.0,0,2,yes,usable,Nominal Broad U.S. Dollar Index; Nominal Advanced Foreign Economies U.S. Doll
Regional-Fed survey complex,TIGHT,2,0.9352,1.0,0,2,yes,usable,Current General Business Conditions; Current New Orders
Regional-Fed survey complex,TIGHT,2,0.9664,1.0,2,0,yes,usable,Future General Activity; Percent Reporting N; Future General Activity; Percent Reporting N
Other complex,TIGHT,2,0.9906,1.0,0,2,yes,usable,Industrial Production: Durable Consumer Good; Industrial Production: Durable Consumer Good
Other complex,TIGHT,2,0.9892,1.0,0,2,yes,usable,Industrial Production: Durable Goods Materia; Industrial Production: Durable Goods Materia
Industrial activity complex,TIGHT,2,0.8635,1.0,0,2,yes,usable,"Mining: Mining; Energy, Total"
Import prices complex,TIGHT,2,0.7791,1.0,2,0,yes,usable,Import Price Index; Import Price Index
Import prices complex,TIGHT,2,0.9214,1.0,2,0,yes,usable,Import Price Index; Import Price Index
Import prices complex,TIGHT,2,0.7265,0.5,1,1,yes,usable,Import Price Index; Import Price Index
Orders/demand complex,TIGHT,2,0.8718,1.0,2,0,yes,usable,Total Business: Inventories to Sales Ratio; Manufacturers: Inventories to Sales Ratio
Regional-Fed survey complex,TIGHT,2,0.9984,1.0,0,2,yes,usable,Future Employment; Diffusion Index for Feder; Future Employment; Diffusion Index for Feder
Regional-Fed survey complex,TIGHT,2,0.998,1.0,2,0,yes,usable,Future Employment; Percent Reporting Decreas; Future Employment; Percent Reporting Decreas
Freight complex,TIGHT,2,0.993,1.0,0,2,yes,usable,Producer Price Index by Industry: Scheduled; Producer Price Index by Industry: Scheduled
Energy/commodity complex,TIGHT,2,0.7879,1.0,2,0,yes,usable,Rubber; Global price of Agr. Raw Material Index
Non-ferrous metals complex,TIGHT,2,0.9591,0.5,1,1,yes,usable,Global zinc price; Import: Zinc
Inflation expectations complex,TIGHT,2,0.8852,1.0,2,0,yes,usable,"10-Year Breakeven Inflation Rate; 5-Year, 5-Year Forward Inflation Expectation"
Construction complex,TIGHT,2,0.7658,1.0,2,0,yes,usable,Manufacturing; Nonresidential
Construction & industrial activity complex,TIGHT,2,0.7978,1.0,0,2,yes,usable,Total Construction; Construction
