observation_date,PCU5111105111102
1979-12-01,100.0
1980-01-01,103.1
1980-02-01,104.3
1980-03-01,105.8
1980-04-01,106.4
1980-05-01,106.9
1980-06-01,107.5
1980-07-01,107.9
1980-08-01,108.1
1980-09-01,109.0
1980-10-01,109.1
1980-11-01,109.5
1980-12-01,109.5
1981-01-01,117.0
1981-02-01,117.7
1981-03-01,119.0
1981-04-01,120.2
1981-05-01,119.7
1981-06-01,120.0
1981-07-01,121.1
1981-08-01,121.3
1981-09-01,122.1
1981-10-01,122.6
1981-11-01,123.3
1981-12-01,123.9
1982-01-01,127.8
1982-02-01,128.0
1982-03-01,129.1
1982-04-01,131.3
1982-05-01,133.1
1982-06-01,133.3
1982-07-01,133.5
1982-08-01,133.8
1982-09-01,134.0
1982-10-01,135.0
1982-11-01,135.5
1982-12-01,137.9
1983-01-01,143.5
1983-02-01,144.6
1983-03-01,145.1
1983-04-01,145.8
1983-05-01,146.4
1983-06-01,147.0
1983-07-01,147.4
1983-08-01,148.0
1983-09-01,148.3
1983-10-01,149.2
1983-11-01,149.8
1983-12-01,149.8
1984-01-01,156.7
1984-02-01,157.2
1984-03-01,157.7
1984-04-01,157.8
1984-05-01,158.3
1984-06-01,158.4
1984-07-01,158.6
1984-08-01,158.9
1984-09-01,159.4
1984-10-01,159.4
1984-11-01,161.9
1984-12-01,161.9
1985-01-01,168.0
1985-02-01,169.7
1985-03-01,169.6
1985-04-01,170.2
1985-05-01,170.7
1985-06-01,170.7
1985-07-01,171.8
1985-08-01,171.8
1985-09-01,170.4
1985-10-01,171.3
1985-11-01,171.6
1985-12-01,171.8
1986-01-01,178.6
1986-02-01,178.8
1986-03-01,177.6
1986-04-01,179.5
1986-05-01,180.1
1986-06-01,180.1
1986-07-01,180.4
1986-08-01,180.7
1986-09-01,181.1
1986-10-01,181.9
1986-11-01,182.2
1986-12-01,182.5
1987-01-01,188.0
1987-02-01,189.9
1987-03-01,190.3
1987-04-01,190.5
1987-05-01,190.3
1987-06-01,190.6
1987-07-01,191.3
1987-08-01,191.8
1987-09-01,192.5
1987-10-01,193.1
1987-11-01,193.7
1987-12-01,193.9
1988-01-01,199.9
1988-02-01,201.4
1988-03-01,202.5
1988-04-01,203.0
1988-05-01,203.3
1988-06-01,203.2
1988-07-01,204.3
1988-08-01,204.9
1988-09-01,206.0
1988-10-01,207.0
1988-11-01,207.6
1988-12-01,207.7
1989-01-01,216.7
1989-02-01,217.5
1989-03-01,218.2
1989-04-01,218.4
1989-05-01,218.6
1989-06-01,219.3
1989-07-01,220.1
1989-08-01,220.8
1989-09-01,222.0
1989-10-01,222.6
1989-11-01,223.0
1989-12-01,222.7
1990-01-01,229.9
1990-02-01,231.1
1990-03-01,232.1
1990-04-01,232.3
1990-05-01,232.6
1990-06-01,232.8
1990-07-01,234.2
1990-08-01,235.7
1990-09-01,236.2
1990-10-01,237.7
1990-11-01,238.7
1990-12-01,238.7
1991-01-01,246.4
1991-02-01,249.1
1991-03-01,249.5
1991-04-01,248.8
1991-05-01,248.9
1991-06-01,249.2
1991-07-01,249.8
1991-08-01,250.9
1991-09-01,251.6
1991-10-01,252.8
1991-11-01,253.3
1991-12-01,253.6
1992-01-01,259.8
1992-02-01,261.5
1992-03-01,261.9
1992-04-01,262.0
1992-05-01,262.0
1992-06-01,262.1
1992-07-01,262.7
1992-08-01,263.7
1992-09-01,264.7
1992-10-01,264.9
1992-11-01,265.0
1992-12-01,265.1
1993-01-01,273.9
1993-02-01,274.7
1993-03-01,275.0
1993-04-01,275.0
1993-05-01,275.0
1993-06-01,275.3
1993-07-01,275.8
1993-08-01,277.2
1993-09-01,278.3
1993-10-01,278.8
1993-11-01,278.8
1993-12-01,279.4
1994-01-01,285.5
1994-02-01,285.3
1994-03-01,286.8
1994-04-01,286.9
1994-05-01,287.0
1994-06-01,287.2
1994-07-01,287.6
1994-08-01,288.5
1994-09-01,288.8
1994-10-01,290.4
1994-11-01,290.5
1994-12-01,290.6
1995-01-01,298.9
1995-02-01,300.7
1995-03-01,302.0
1995-04-01,302.3
1995-05-01,303.2
1995-06-01,305.2
1995-07-01,306.2
1995-08-01,306.4
1995-09-01,307.5
1995-10-01,312.8
1995-11-01,315.1
1995-12-01,315.4
1996-01-01,325.0
1996-02-01,326.5
1996-03-01,326.6
1996-04-01,326.9
1996-05-01,326.8
1996-06-01,327.1
1996-07-01,328.0
1996-08-01,328.0
1996-09-01,328.8
1996-10-01,333.4
1996-11-01,333.9
1996-12-01,333.8
1997-01-01,341.5
1997-02-01,341.9
1997-03-01,342.2
1997-04-01,342.4
1997-05-01,342.4
1997-06-01,342.6
1997-07-01,343.2
1997-08-01,343.5
1997-09-01,344.1
1997-10-01,344.6
1997-11-01,345.6
1997-12-01,345.9
1998-01-01,355.2
1998-02-01,356.2
1998-03-01,357.1
1998-04-01,357.8
1998-05-01,357.3
1998-06-01,357.4
1998-07-01,357.4
1998-08-01,357.5
1998-09-01,358.1
1998-10-01,359.5
1998-11-01,360.4
1998-12-01,360.4
1999-01-01,368.8
1999-02-01,369.1
1999-03-01,369.9
1999-04-01,370.2
1999-05-01,370.2
1999-06-01,370.7
1999-07-01,370.7
1999-08-01,370.7
1999-09-01,373.5
1999-10-01,373.6
1999-11-01,375.3
1999-12-01,375.3
2000-01-01,384.0
2000-02-01,384.1
2000-03-01,385.2
2000-04-01,385.5
2000-05-01,386.4
2000-06-01,386.3
2000-07-01,386.9
2000-08-01,388.7
2000-09-01,389.3
2000-10-01,391.8
2000-11-01,392.6
2000-12-01,394.4
2001-01-01,403.1
2001-02-01,405.0
2001-03-01,405.8
2001-04-01,407.3
2001-05-01,407.4
2001-06-01,406.9
2001-07-01,407.1
2001-08-01,407.7
2001-09-01,409.2
2001-10-01,412.4
2001-11-01,412.4
2001-12-01,412.2
2002-01-01,421.1
2002-02-01,422.9
2002-03-01,423.3
2002-04-01,424.1
