observation_date,WPU1015021
2011-12-01,100.000
2012-01-01,100.000
2012-02-01,100.100
2012-03-01,102.300
2012-04-01,102.400
2012-05-01,102.400
2012-06-01,102.400
2012-07-01,103.400
2012-08-01,104.500
2012-09-01,103.700
2012-10-01,101.900
2012-11-01,104.300
2012-12-01,101.200
2013-01-01,99.900
2013-02-01,100.600
2013-03-01,101.400
2013-04-01,100.100
2013-05-01,100.400
2013-06-01,99.800
2013-07-01,99.900
2013-08-01,99.400
2013-09-01,101.800
2013-10-01,102.700
2013-11-01,101.300
2013-12-01,98.100
2014-01-01,97.300
2014-02-01,98.900
2014-03-01,99.100
2014-04-01,99.300
2014-05-01,98.400
2014-06-01,99.500
2014-07-01,99.000
2014-08-01,102.900
2014-09-01,102.300
2014-10-01,100.800
2014-11-01,100.800
2014-12-01,102.600
2015-01-01,103.300
2015-02-01,99.800
2015-03-01,99.700
2015-04-01,96.200
2015-05-01,97.300
2015-06-01,101.200
2015-07-01,100.200
2015-08-01,100.700
2015-09-01,101.300
2015-10-01,102.300
2015-11-01,101.100
2015-12-01,99.700
2016-01-01,100.100
2016-02-01,103.800
2016-03-01,104.200
2016-04-01,104.500
2016-05-01,101.500
2016-06-01,101.700
2016-07-01,101.000
2016-08-01,104.500
2016-09-01,97.000
2016-10-01,99.200
2016-11-01,99.200
2016-12-01,97.700
2017-01-01,95.800
2017-02-01,97.700
2017-03-01,97.500
2017-04-01,97.400
2017-05-01,98.400
2017-06-01,98.300
2017-07-01,100.900
2017-08-01,98.500
2017-09-01,99.000
2017-10-01,100.200
2017-11-01,100.200
2017-12-01,100.200
2018-01-01,100.600
2018-02-01,
2018-03-01,
2018-04-01,101.700
2018-05-01,101.000
2018-06-01,101.100
2018-07-01,101.100
2018-08-01,102.300
2018-09-01,102.400
2018-10-01,102.300
2018-11-01,102.600
2018-12-01,102.700
2019-01-01,102.700
2019-02-01,102.700
2019-03-01,102.200
2019-04-01,102.200
2019-05-01,102.400
2019-06-01,102.300
2019-07-01,102.100
2019-08-01,101.200
2019-09-01,101.500
2019-10-01,101.400
2019-11-01,99.700
2019-12-01,99.600
2020-01-01,101.000
2020-02-01,101.400
2020-03-01,101.100
2020-04-01,101.200
2020-05-01,102.200
2020-06-01,102.100
2020-07-01,102.100
2020-08-01,104.900
2020-09-01,106.000
2020-10-01,106.400
2020-11-01,106.200
2020-12-01,107.700
2021-01-01,110.700
2021-02-01,112.500
2021-03-01,112.700
2021-04-01,115.600
2021-05-01,114.300
2021-06-01,117.500
2021-07-01,117.650
2021-08-01,117.306
2021-09-01,119.968
2021-10-01,119.691
2021-11-01,119.614
2021-12-01,119.634
2022-01-01,121.396
2022-02-01,128.750
2022-03-01,128.403
2022-04-01,137.623
2022-05-01,140.850
2022-06-01,136.961
2022-07-01,136.641
2022-08-01,138.808
2022-09-01,138.006
2022-10-01,137.110
2022-11-01,139.612
2022-12-01,141.423
2023-01-01,140.517
2023-02-01,141.611
2023-03-01,142.233
2023-04-01,143.076
2023-05-01,142.951
2023-06-01,142.951
2023-07-01,144.474
2023-08-01,140.484
2023-09-01,140.155
