observation_date,PCU5111305111301
1980-12-01,100.0
1981-01-01,102.4
1981-02-01,102.7
1981-03-01,103.6
1981-04-01,104.3
1981-05-01,105.0
1981-06-01,105.3
1981-07-01,105.4
1981-08-01,105.5
1981-09-01,105.8
1981-10-01,109.0
1981-11-01,111.7
1981-12-01,111.2
1982-01-01,113.3
1982-02-01,113.4
1982-03-01,113.4
1982-04-01,113.9
1982-05-01,113.8
1982-06-01,113.9
1982-07-01,114.7
1982-08-01,114.3
1982-09-01,115.9
1982-10-01,117.6
1982-11-01,120.3
1982-12-01,120.9
1983-01-01,121.4
1983-02-01,121.7
1983-03-01,121.8
1983-04-01,123.5
1983-05-01,123.9
1983-06-01,125.8
1983-07-01,128.1
1983-08-01,129.3
1983-09-01,129.4
1983-10-01,131.6
1983-11-01,132.7
1983-12-01,132.8
1984-01-01,133.0
1984-02-01,133.8
1984-03-01,133.9
1984-04-01,134.5
1984-05-01,135.2
1984-06-01,137.3
1984-07-01,137.8
1984-08-01,137.8
1984-09-01,137.8
1984-10-01,141.7
1984-11-01,142.2
1984-12-01,143.4
1985-01-01,145.1
1985-02-01,145.7
1985-03-01,145.5
1985-04-01,145.1
1985-05-01,145.2
1985-06-01,145.4
1985-07-01,145.7
1985-08-01,148.9
1985-09-01,148.9
1985-10-01,154.4
1985-11-01,155.3
1985-12-01,156.0
1986-01-01,156.1
1986-02-01,158.6
1986-03-01,158.6
1986-04-01,159.7
1986-05-01,159.6
1986-06-01,160.2
1986-07-01,160.5
1986-08-01,160.5
1986-09-01,160.5
1986-10-01,164.1
1986-11-01,165.3
1986-12-01,166.6
1987-01-01,166.5
1987-02-01,168.3
1987-03-01,168.3
1987-04-01,168.5
1987-05-01,168.8
1987-06-01,168.9
1987-07-01,169.6
1987-08-01,169.8
1987-09-01,170.0
1987-10-01,174.0
1987-11-01,175.9
1987-12-01,176.9
1988-01-01,177.9
1988-02-01,178.9
1988-03-01,178.9
1988-04-01,178.3
1988-05-01,180.5
1988-06-01,181.5
1988-07-01,182.5
1988-08-01,182.7
1988-09-01,182.7
1988-10-01,185.2
1988-11-01,190.2
1988-12-01,191.0
1989-01-01,192.8
1989-02-01,197.7
1989-03-01,198.0
1989-04-01,198.2
1989-05-01,199.6
1989-06-01,199.8
1989-07-01,200.5
1989-08-01,200.4
1989-09-01,200.7
1989-10-01,203.6
1989-11-01,206.1
1989-12-01,206.2
1990-01-01,206.7
1990-02-01,207.5
1990-03-01,207.6
1990-04-01,210.4
1990-05-01,223.7
1990-06-01,225.4
1990-07-01,225.7
1990-08-01,220.3
1990-09-01,220.6
1990-10-01,226.9
1990-11-01,230.9
1990-12-01,231.1
1991-01-01,230.4
1991-02-01,230.4
1991-03-01,231.2
1991-04-01,231.9
1991-05-01,234.2
1991-06-01,232.6
1991-07-01,232.6
1991-08-01,232.6
1991-09-01,232.6
1991-10-01,236.7
1991-11-01,237.8
1991-12-01,237.4
1992-01-01,243.3
1992-02-01,243.4
1992-03-01,242.4
1992-04-01,242.4
1992-05-01,242.3
1992-06-01,242.3
1992-07-01,244.8
1992-08-01,244.8
1992-09-01,243.9
1992-10-01,246.2
1992-11-01,248.1
1992-12-01,248.4
1993-01-01,249.3
1993-02-01,249.3
1993-03-01,249.5
1993-04-01,249.5
1993-05-01,249.7
1993-06-01,251.0
1993-07-01,252.4
1993-08-01,252.2
1993-09-01,252.1
1993-10-01,254.2
1993-11-01,254.3
1993-12-01,254.7
1994-01-01,257.5
1994-02-01,260.0
1994-03-01,260.2
1994-04-01,260.2
1994-05-01,260.9
1994-06-01,263.2
1994-07-01,263.2
1994-08-01,263.3
1994-09-01,266.0
1994-10-01,269.0
1994-11-01,274.0
1994-12-01,274.0
1995-01-01,276.9
1995-02-01,278.6
1995-03-01,278.9
1995-04-01,279.2
1995-05-01,283.1
1995-06-01,283.5
1995-07-01,283.5
1995-08-01,283.5
1995-09-01,283.6
1995-10-01,288.9
1995-11-01,295.8
1995-12-01,295.8
1996-01-01,296.0
1996-02-01,296.2
1996-03-01,296.6
1996-04-01,296.6
1996-05-01,299.0
1996-06-01,299.0
1996-07-01,300.6
1996-08-01,301.1
1996-09-01,301.4
1996-10-01,305.6
1996-11-01,310.2
1996-12-01,311.8
1997-01-01,312.1
1997-02-01,311.6
1997-03-01,312.3
1997-04-01,315.5
1997-05-01,314.3
1997-06-01,314.2
1997-07-01,315.8
1997-08-01,314.4
1997-09-01,314.6
1997-10-01,324.1
1997-11-01,327.1
1997-12-01,328.7
1998-01-01,327.9
1998-02-01,327.9
1998-03-01,327.3
1998-04-01,327.3
1998-05-01,328.4
1998-06-01,330.8
1998-07-01,330.7
1998-08-01,330.5
1998-09-01,330.5
1998-10-01,339.6
1998-11-01,343.4
1998-12-01,343.3
1999-01-01,343.7
1999-02-01,343.3
1999-03-01,343.6
1999-04-01,343.9
1999-05-01,346.0
1999-06-01,349.7
1999-07-01,345.3
1999-08-01,345.7
1999-09-01,345.7
1999-10-01,350.9
1999-11-01,357.3
1999-12-01,354.2
2000-01-01,354.2
2000-02-01,354.8
2000-03-01,354.8
2000-04-01,355.6
2000-05-01,357.7
2000-06-01,363.0
2000-07-01,363.9
2000-08-01,363.9
2000-09-01,365.4
2000-10-01,369.6
2000-11-01,379.3
2000-12-01,379.3
2001-01-01,379.3
2001-02-01,379.3
2001-03-01,379.3
2001-04-01,379.1
2001-05-01,382.2
2001-06-01,384.8
2001-07-01,384.8
2001-08-01,386.2
2001-09-01,388.5
2001-10-01,387.8
2001-11-01,391.9
2001-12-01,391.9
2002-01-01,399.0
2002-02-01,399.0
2002-03-01,398.6
2002-04-01,398.5
2002-05-01,402.4
2002-06-01,403.1
2002-07-01,406.3
2002-08-01,410.6
2002-09-01,409.9
2002-10-01,412.1
2002-11-01,418.9
2002-12-01,418.9
2003-01-01,423.1
2003-02-01,422.7
2003-03-01,423.9
2003-04-01,423.9
2003-05-01,426.2
2003-06-01,428.6
2003-07-01,430.8
2003-08-01,430.7
2003-09-01,430.4
2003-10-01,432.1
2003-11-01,433.8
2003-12-01,443.3
2004-01-01,446.1
2004-02-01,445.8
2004-03-01,446.7
2004-04-01,446.2
2004-05-01,452.6
2004-06-01,453.2
2004-07-01,453.4
2004-08-01,453.5
2004-09-01,453.4
2004-10-01,465.3
2004-11-01,472.6
2004-12-01,472.6
2005-01-01,473.2
2005-02-01,475.8
2005-03-01,475.8
2005-04-01,475.3
2005-05-01,482.5
2005-06-01,482.1
2005-07-01,483.3
2005-08-01,483.3
2005-09-01,489.3
2005-10-01,497.1
2005-11-01,497.2
2005-12-01,498.3
2006-01-01,502.8
2006-02-01,502.8
2006-03-01,503.1
2006-04-01,507.6
2006-05-01,507.6
2006-06-01,510.2
2006-07-01,514.1
2006-08-01,516.3
2006-09-01,515.9
2006-10-01,517.6
2006-11-01,533.8
2006-12-01,533.8
2007-01-01,527.9
2007-02-01,528.0
2007-03-01,528.0
2007-04-01,528.0
2007-05-01,539.0
2007-06-01,539.0
2007-07-01,542.8
2007-08-01,544.3
2007-09-01,544.3
2007-10-01,547.8
2007-11-01,552.7
2007-12-01,552.7
2008-01-01,560.1
2008-02-01,561.9
2008-03-01,562.3
2008-04-01,563.9
2008-05-01,563.9
2008-06-01,574.7
2008-07-01,575.1
2008-08-01,575.1
2008-09-01,575.1
2008-10-01,575.5
2008-11-01,582.2
2008-12-01,586.4
2009-01-01,587.1
2009-02-01,589.1
2009-03-01,589.5
2009-04-01,589.5
2009-05-01,594.9
2009-06-01,595.7
2009-07-01,596.0
2009-08-01,592.4
2009-09-01,593.4
2009-10-01,594.8
2009-11-01,601.6
2009-12-01,598.3
2010-01-01,617.0
2010-02-01,615.9
2010-03-01,616.3
2010-04-01,615.0
2010-05-01,618.5
2010-06-01,619.5
2010-07-01,619.4
2010-08-01,620.9
2010-09-01,620.9
2010-10-01,630.2
2010-11-01,635.0
2010-12-01,634.9
2011-01-01,631.0
2011-02-01,631.0
2011-03-01,631.3
2011-04-01,627.9
2011-05-01,636.8
2011-06-01,636.7
2011-07-01,654.3
2011-08-01,653.0
2011-09-01,654.7
2011-10-01,655.7
2011-11-01,660.9
2011-12-01,665.3
2012-01-01,660.2
2012-02-01,660.2
2012-03-01,665.2
2012-04-01,672.5
2012-05-01,686.1
2012-06-01,685.8
2012-07-01,686.2
2012-08-01,686.2
2012-09-01,686.2
2012-10-01,699.8
2012-11-01,701.3
2012-12-01,712.3
2013-01-01,712.2
2013-02-01,712.3
2013-03-01,713.0
2013-04-01,712.6
2013-05-01,715.3
2013-06-01,715.3
2013-07-01,715.3
2013-08-01,715.4
2013-09-01,715.3
2013-10-01,722.4
2013-11-01,726.3
2013-12-01,727.8
2014-01-01,727.8
2014-02-01,727.8
2014-03-01,728.8
2014-04-01,729.3
2014-05-01,734.3
2014-06-01,735.1
2014-07-01,735.1
2014-08-01,735.4
2014-09-01,735.3
2014-10-01,750.4
2014-11-01,760.4
2014-12-01,761.2
2015-01-01,761.3
2015-02-01,761.3
2015-03-01,761.3
2015-04-01,761.4
2015-05-01,763.5
2015-06-01,768.6
2015-07-01,769.0
2015-08-01,769.1
2015-09-01,769.1
